rank,name
1,Brain Out – 가장 어색한 게임
2,V4
3,꽃피는 달빛
4,킹 오브 타워
5,Rescue Cut - Rope Puzzle
6,Crazy Shopping
7,마기아 : 카르마 사가
8,콜 오브 듀티: 모바일
9,무한의 계단
10,Sky Roller
11,라이즈 오브 킹덤즈
12,워드퍼즐 - 단어 게임
13,Icing On The Cake
14,Zipline Valley - 물리학 퍼즐 게임
15,브롤스타즈
16,기적의 검
17,무한의 농장
18,로드 크래쉬
19,질풍닌자전
20,DX : 신 세기의 전쟁
21,Granny Legend
22,꿈의 집 (Homescapes)
23,펭귄의 섬
24,꿈의 마을 (Township)
25,Drop & Smash
26,신강호
27,ROBLOX
28,배틀그라운드
29,꿈의 정원 (Gardenscapes)
30,Ink Inc. - Tattoo Tycoon
31,궁수의 전설
32,바이러스 워 - 우주 슈팅 게임
33,Perfect Slices
34,Sand Balls
35,Pokémon GO
36,달빛조각사
37,Fun Race 3D
38,Cool Goal!
39,히어로즈 스트라이크
40,Run Race 3D
41,Robot Clash
42,쿠키런: 오븐브레이크
43,클래시 로얄
44,톰 오브 더 마스크: 컬러
45,테니스 클래시: 3D 스포츠 - 무료 멀티플레이어 게임
46,솔리테르 트라이픽스: 팜 어드벤처
47,피망 뉴맞고 : 고스톱으로 대한민국 1등
48,로얄 다이스(Royal Dice) : 랜덤 디펜스
49,Minecraft 체험판
50,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
51,Mr Bullet - 스파이 퍼즐
52,Puzzle Fuzzle
53,삼국지 오리진
54,Rider
55,Gang Clash
56,Draw Around
57,지오메트리 대시 라이트 (Geometry Dash L)
58,매직 직소 퍼즐
59,보틀 점프 3D
60,블록 퍼즐
61,스도쿠 - 무료 클래식 스도쿠 퍼즐
62,Magic Tiles 3
63,로그의 전설
64,Supreme Duelist Stickman
65,Dancing Road: Color Ball Run!
66,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
67,Piano Tiles 2™
68,이터:던전의 포식자
69,Paper.io 2
70,롤링 스카이
71,도끼.io
72,Cannon Shot!
73,aquapark.io
74,Empires & Puzzles: RPG Quest
75,쿠키런 for Kakao
76,익스트림풋볼:3대3 멀티 축구
77,리치리치
78,토킹톰 골드런
79,Square Bird
80,Block Puzzle Rune
81,1945
82,신비아파트 고스트헌터
83,Ball Jump
84,토킹톰 히어로 대시
85,미니카키우기
86,Tasty Planet Forever
87,브롤 스타즈 상자깡 버그판 마인크래프트 게임 고양이 Brawl Stars
88,Draw it
89,Color Saw 3D
90,Rummikub
91,Crowd City
92,Wrecking Ball
93,"좋은 피자, 위대한 피자"
94,Happy Glass
95,좀비고등학교
96,Nonogram.com - 픽처 크로스 퍼즐 게임
97,동물극장 - 귀여운 동물들과 영화보며 힐링
98,Collect Cubes
99,그래니를 잡아라
100,OX 퀴즈 서바이벌 100
