date,count,content_count
2019_09_01,0,0
2019_09_02,0,0
2019_09_03,0,0
2019_09_04,0,0
2019_09_05,0,0
2019_09_06,0,0
2019_09_07,0,0
2019_09_08,0,0
2019_09_09,0,0
2019_09_10,0,0
2019_09_11,0,0
2019_09_12,0,0
2019_09_13,0,0
2019_09_14,0,0
2019_09_15,0,0
2019_09_16,0,0
2019_09_17,0,0
2019_09_18,572,1
2019_09_19,0,0
2019_09_20,0,0
2019_09_21,2186,1
2019_09_22,0,0
2019_09_23,0,0
2019_09_24,0,0
2019_09_25,0,0
2019_09_26,0,0
2019_09_27,0,0
2019_09_28,0,0
2019_09_29,0,0
2019_09_30,0,0
2019_10_01,0,0
2019_10_02,0,0
2019_10_03,0,0
2019_10_04,0,0
2019_10_05,0,0
2019_10_06,0,0
2019_10_07,0,0
2019_10_08,0,0
2019_10_09,0,0
2019_10_10,0,0
2019_10_11,0,0
2019_10_12,0,0
2019_10_13,0,0
2019_10_14,0,0
2019_10_15,0,0
2019_10_16,0,0
2019_10_17,0,0
2019_10_18,0,0
2019_10_19,0,0
2019_10_20,0,0
2019_10_21,0,0
2019_10_22,0,0
2019_10_23,0,0
2019_10_24,0,0
2019_10_25,0,0
2019_10_26,0,0
2019_10_27,0,0
2019_10_28,1757,2
2019_10_29,14265,9
2019_10_30,3705,3
2019_10_31,0,0
2019_11_01,710,5
2019_11_02,0,0
2019_11_03,87,1
2019_11_04,0,0
2019_11_05,519,1
2019_11_06,0,0
2019_11_07,0,0
2019_11_08,0,0
2019_11_09,50,1
2019_11_10,218,1
2019_11_11,687,1
2019_11_12,691,2
2019_11_13,0,0
2019_11_14,15454,1
2019_11_15,153,1
2019_11_16,203,1
2019_11_17,0,0
2019_11_18,0,0
2019_11_19,6056,1
2019_11_20,166353,1
2019_11_21,0,0
2019_11_22,5040,1
2019_11_23,151,1
2019_11_24,0,0
2019_11_25,0,0
2019_11_26,0,0
2019_11_27,0,0
2019_11_28,0,0
2019_11_29,123,2
